Date(GMT-5),Verified (m)
2018-10-17 00:00,74.666
2018-10-18 00:00,74.626
2018-10-19 00:00,74.649
2018-10-20 00:00,74.647
2018-10-21 00:00,74.579
2018-10-22 00:00,74.566
2018-10-23 00:00,74.567
2018-10-24 00:00,74.567
2018-10-25 00:00,74.549
2018-10-26 00:00,74.507
2018-10-27 00:00,74.461
2018-10-28 00:00,74.53
2018-10-29 00:00,74.544
2018-10-30 00:00,74.523
2018-10-31 00:00,74.541
2018-11-01 00:00,74.518
2018-11-02 00:00,74.538
2018-11-03 00:00,74.597
2018-11-04 00:00,74.533
2018-11-05 00:00,74.572
2018-11-06 00:00,74.618
2018-11-07 00:00,74.708
2018-11-08 00:00,74.597
2018-11-09 00:00,74.572
2018-11-10 00:00,74.739
2018-11-11 00:00,74.587
2018-11-12 00:00,74.591
2018-11-13 00:00,74.593
2018-11-14 00:00,74.566
2018-11-15 00:00,74.55
2018-11-16 00:00,74.631
2018-11-17 00:00,74.61
2018-11-18 00:00,74.586
2018-11-19 00:00,74.591
2018-11-20 00:00,74.587
2018-11-21 00:00,74.648
2018-11-22 00:00,74.568
2018-11-23 00:00,74.585
2018-11-24 00:00,74.577
2018-11-25 00:00,74.582
2018-11-26 00:00,74.546
2018-11-27 00:00,74.635
2018-11-28 00:00,74.656
2018-11-29 00:00,74.639
2018-11-30 00:00,74.632
2018-12-01 00:00,74.609
2018-12-02 00:00,74.639
2018-12-03 00:00,74.694
2018-12-04 00:00,74.656
2018-12-05 00:00,74.67
2018-12-06 00:00,74.727
2018-12-07 00:00,74.675
2018-12-08 00:00,74.679
2018-12-09 00:00,74.724
2018-12-10 00:00,74.647
2018-12-11 00:00,74.682
2018-12-12 00:00,74.633
2018-12-13 00:00,74.643
2018-12-14 00:00,74.673
2018-12-15 00:00,74.646
2018-12-16 00:00,74.639
2018-12-17 00:00,74.68
2018-12-18 00:00,74.642
2018-12-19 00:00,74.663
2018-12-20 00:00,74.642
2018-12-21 00:00,74.68
2018-12-22 00:00,74.748
2018-12-23 00:00,74.672
2018-12-24 00:00,74.704
2018-12-25 00:00,74.696
2018-12-26 00:00,74.711
2018-12-27 00:00,74.659
2018-12-28 00:00,74.754
2018-12-29 00:00,74.755
2018-12-30 00:00,74.725
2018-12-31 00:00,74.714
2019-01-01 00:00,74.776
2019-01-02 00:00,74.726
2019-01-03 00:00,74.79
2019-01-04 00:00,74.787
2019-01-05 00:00,74.762
2019-01-06 00:00,74.751
2019-01-07 00:00,74.713
2019-01-08 00:00,74.806
2019-01-09 00:00,74.826
2019-01-10 00:00,74.79
2019-01-11 00:00,74.765
2019-01-12 00:00,74.745
2019-01-13 00:00,74.726
2019-01-14 00:00,74.756
2019-01-15 00:00,74.807
2019-01-16 00:00,74.873
2019-01-17 00:00,74.775
2019-01-18 00:00,74.822
2019-01-19 00:00,74.708
2019-01-20 00:00,74.773
2019-01-21 00:00,74.827
2019-01-22 00:00,74.81
2019-01-23 00:00,74.88
2019-01-24 00:00,74.91
2019-01-25 00:00,74.957
2019-01-26 00:00,74.914
2019-01-27 00:00,74.959
2019-01-28 00:00,74.852
2019-01-29 00:00,74.96
2019-01-30 00:00,74.994
2019-01-31 00:00,74.992
2019-02-01 00:00,74.93
2019-02-02 00:00,74.894
2019-02-03 00:00,74.868
2019-02-04 00:00,74.87
2019-02-05 00:00,74.893
2019-02-06 00:00,74.858
2019-02-07 00:00,74.891
2019-02-08 00:00,75.032
2019-02-09 00:00,74.956
2019-02-10 00:00,74.929
2019-02-11 00:00,74.892
2019-02-12 00:00,74.855
2019-02-13 00:00,75.017
2019-02-14 00:00,74.949
2019-02-15 00:00,74.996
2019-02-16 00:00,74.985
2019-02-17 00:00,74.934
2019-02-18 00:00,74.952
2019-02-19 00:00,74.954
2019-02-20 00:00,74.926
2019-02-21 00:00,74.989
2019-02-22 00:00,74.957
2019-02-23 00:00,74.93
2019-02-24 00:00,75.001
2019-02-25 00:00,75.092
2019-02-26 00:00,74.974
2019-02-27 00:00,74.927
2019-02-28 00:00,74.955
2019-03-01 00:00,74.942
2019-03-02 00:00,74.949
2019-03-03 00:00,74.948
2019-03-04 00:00,74.962
2019-03-05 00:00,74.963
2019-03-06 00:00,74.95
2019-03-07 00:00,74.944
2019-03-08 00:00,74.923
2019-03-09 00:00,74.89
2019-03-10 00:00,74.937
2019-03-11 00:00,74.973
2019-03-12 00:00,74.937
2019-03-13 00:00,74.906
2019-03-14 00:00,74.899
2019-03-15 00:00,74.945
2019-03-16 00:00,74.968
2019-03-17 00:00,74.954
2019-03-18 00:00,74.946
2019-03-19 00:00,74.937
2019-03-20 00:00,74.934
2019-03-21 00:00,74.935
2019-03-22 00:00,74.972
2019-03-23 00:00,74.98
2019-03-24 00:00,74.956
2019-03-25 00:00,74.953
2019-03-26 00:00,74.938
