Date,Verified (m)
2018-10-20 0:00,74.632
2018-10-21 0:00,74.639
2018-10-22 0:00,74.595
2018-10-23 0:00,74.603
2018-10-24 0:00,74.622
2018-10-25 0:00,74.597
2018-10-26 0:00,74.548
2018-10-27 0:00,74.54
2018-10-28 0:00,74.553
2018-10-29 0:00,74.581
2018-10-30 0:00,74.562
2018-10-31 0:00,74.556
2018-11-01 0:00,74.576
2018-11-02 0:00,74.603
2018-11-03 0:00,74.644
2018-11-04 0:00,74.593
2018-11-05 0:00,74.563
2018-11-06 0:00,74.591
2018-11-07 0:00,74.644
2018-11-08 0:00,74.632
2018-11-09 0:00,74.587
2018-11-10 0:00,74.692
2018-11-11 0:00,74.63
2018-11-12 0:00,74.609
2018-11-13 0:00,74.641
2018-11-14 0:00,74.637
2018-11-15 0:00,74.587
2018-11-16 0:00,74.64
2018-11-17 0:00,74.66
2018-11-18 0:00,74.612
2018-11-19 0:00,74.62
2018-11-20 0:00,74.635
2018-11-21 0:00,74.676
2018-11-22 0:00,74.626
2018-11-23 0:00,74.577
2018-11-24 0:00,74.57
2018-11-25 0:00,74.599
2018-11-26 0:00,74.58
2018-11-27 0:00,74.681
2018-11-28 0:00,74.723
2018-11-29 0:00,74.689
2018-11-30 0:00,74.671
2018-12-01 0:00,74.644
2018-12-02 0:00,74.651
2018-12-03 0:00,74.713
2018-12-04 0:00,74.707
2018-12-05 0:00,74.696
2018-12-06 0:00,74.723
2018-12-07 0:00,74.728
2018-12-08 0:00,74.712
2018-12-09 0:00,74.712
2018-12-10 0:00,74.693
2018-12-11 0:00,74.696
2018-12-12 0:00,74.685
2018-12-13 0:00,74.669
2018-12-14 0:00,74.68
2018-12-15 0:00,74.698
2018-12-16 0:00,74.682
2018-12-17 0:00,74.737
2018-12-18 0:00,74.706
2018-12-19 0:00,74.676
2018-12-20 0:00,74.666
2018-12-21 0:00,74.701
2018-12-22 0:00,74.785
2018-12-23 0:00,74.72
2018-12-24 0:00,74.749
2018-12-25 0:00,74.741
2018-12-26 0:00,74.748
2018-12-27 0:00,74.713
2018-12-28 0:00,74.728
2018-12-29 0:00,74.782
2018-12-30 0:00,74.746
2018-12-31 0:00,74.727
2019-01-01 0:00,74.804
2019-01-02 0:00,74.773
2019-01-03 0:00,74.803
2019-01-04 0:00,74.778
2019-01-05 0:00,74.789
2019-01-06 0:00,74.812
2019-01-07 0:00,74.733
2019-01-08 0:00,74.765
2019-01-09 0:00,74.866
2019-01-10 0:00,74.861
2019-01-11 0:00,74.808
2019-01-12 0:00,74.785
